State,2023
United States,22512546
New England ,1241339
Connecticut,317086
Maine ,86633
Massachusetts ,614029
New Hampshire ,108141
Rhode Island ,72823
Vermont ,42628
Mideast ,3766076
Delaware ,65332
District of Columbia ,67097
Maryland ,448016
New Jersey,747411
New York,1568565
Pennsylvania ,869655
Great Lakes ,2951347
Illinois ,888872
Indiana,400583
Michigan ,586514
Ohio ,701863
Wisconsin ,373515
Plains ,1389457
Iowa ,195746
Kansas,183752
Minnesota ,400707
Missouri ,361576
Nebraska,131149
North Dakota ,54163
South Dakota ,62364
Southeast ,5268611
Alabama ,266441
Arkansas,163809
Florida ,1488087
Georgia ,646925
Kentucky,241719
Louisiana ,258528
Mississippi ,140253
North Carolina ,635622
South Carolina ,295581
Tennessee ,427513
Virginia ,613886
West Virginia ,90248
Southwest ,2720247
Arizona ,436527
New Mexico,113779
Oklahoma,230350
Texas,1939591
Rocky Mountain ,871340
Colorado ,445967
Idaho ,110568
Montana ,67439
Utah ,204164
Wyoming ,43202
Far West,4304129
Alaska ,52073
California ,3070730
Hawaii ,92065
Nevada,204136
Oregon ,276000
Washington,609125
